HSN Code.,Product,Vendor Comp.,Delivery Time(in days),Contact Name,E-mail ID
ASW-001,Xiaomi Android TV,Iris Computers Ltd,3,Richie Alexander,support@iriscomputersltd.in
ASW-002,iPhone 15,Tech Distributers,2,Amit Khandal,support@techdistributers.in
ASW-003,Samsung Galaxy S23 FE,Tech Distributers,7,Amit Khandal,support@techdistributers.in
ASW-004,HP Envy x360,Redington India Ltd,5,Dipti Sharma,support@redingtonindialtd.in
ASW-005,One Plus 12,Foreighn Tech Distributers,7,John Smith ,support@foreighntechdistributers.in
ASW-006,Google Pixel 7a,Redington India Ltd,6,Dipti Sharma,support@redingtonindialtd.in
ASW-007,Motorola Edge 40,Global Tech ,4,Sam Hopper,support@globaltech.in
ASW-008,HP Pavilion 15,Savex Technologies,6,Ashok Ghalot,support@savextechnologies.in
ASW-009,Google Pixel 8 Pro,Savex Technologies,4,Ashok Ghalot,support@savextechnologies.in
ASW-010,iPad Mini,Global Tech ,3,Sam Hopper,support@globaltech.in
ASW-011,HP spectre x360,Savex Technologies,6,Ashok Ghalot,support@savextechnologies.in
ASW-012,HP  Victer 14s,Tech Distro,7,Omkar Sharma,support@techdistro.in
ASW-013,MacBook Pro M3 Max 16,Redington India Ltd,7,Dipti Sharma,support@redingtonindialtd.in
ASW-014,iPad Pro 12,Foreighn Tech Distributers,5,John Smith ,support@foreighntechdistributers.in
ASW-015,Asus Zenbook 14,Foreighn Tech Distributers,3,John Smith ,support@foreighntechdistributers.in
ASW-016,iPhone 15 Pro Max,Redington India Ltd,3,Dipti Sharma,support@redingtonindialtd.in
ASW-017,Dell Alienware,Tech Distributers,6,Amit Khandal,support@techdistributers.in
ASW-018,Samsung Galaxy S24 Ultra,K&L Distributers,3,Leoroy Hanlon,support@k&ldistributers.in
ASW-019,iPhone 13,Arial Tech Ltd,5,Shruti Singh,support@arialtechltd.in
ASW-020,Xiaomi 14 Pro,Savex Technologies,4,Ashok Ghalot,support@savextechnologies.in
ASW-021,Sony Bravia 4k Led TV,Iris Computers Ltd,2,Richie Alexander,support@iriscomputersltd.in
ASW-022,Nothing Phone,Redington India Ltd,5,Dipti Sharma,support@redingtonindialtd.in
ASW-023,iPad Air,K&L Distributers,5,Leoroy Hanlon,support@k&ldistributers.in
ASW-024,One Plus Led TV,Halo Tech Ltd,6,Sahid Ali khan,support@halotechltd.in
ASW-025,Samsung Smart Led TV ,Foreighn Tech Distributers,2,John Smith ,support@foreighntechdistributers.in
ASW-026,MacBook Air M2 13,Tech Distributers,5,Amit Khandal,support@techdistributers.in
ASW-027,Sony Xperia 1V,K&L Distributers,3,Leoroy Hanlon,support@k&ldistributers.in
ASW-028,Samsung Galaxy Tab S9 FE,Tech Distributers,5,Amit Khandal,support@techdistributers.in
ASW-029,Samsung Galaxy S24+,Savex Technologies,6,Ashok Ghalot,support@savextechnologies.in
ASW-030,One Plus Ultra ,Iris Computers Ltd,7,Richie Alexander,support@iriscomputersltd.in
ASW-031,Dell Aspire ,Foreighn Tech Distributers,4,John Smith ,support@foreighntechdistributers.in
ASW-032,Samsung Android TV,Savex Technologies,4,Ashok Ghalot,support@savextechnologies.in
ASW-033,HP Victre 14s,Halo Tech Ltd,5,Sahid Ali khan,support@halotechltd.in
ASW-034,iPad 9th Gen,Tech Distributers,2,Amit Khandal,support@techdistributers.in
ASW-035,Sony Bravia Smart 4K,Tech Distributers,4,Amit Khandal,support@techdistributers.in
ASW-036,Samsung F23 Plus,Halo Tech Ltd,5,Sahid Ali khan,support@halotechltd.in
ASW-037,Google Smart TV,Redington India Ltd,2,Dipti Sharma,support@redingtonindialtd.in
ASW-038,iPad 16 ,Iris Computers Ltd,2,Richie Alexander,support@iriscomputersltd.in
ASW-039,Samsung Galaxy A49+,Halo Tech Ltd,2,Sahid Ali khan,support@halotechltd.in
ASW-040,iPad 16 Pro Max,Redington India Ltd,4,Dipti Sharma,support@redingtonindialtd.in
